"Id","Season","Week","Season Type","Start Date","Start Time Tbd","Completed","Neutral Site","Conference Game","Attendance","Venue Id","Venue","Home Id","Home Team","Home Conference","Home Division","Home Points","Home Line Scores[0]","Home Line Scores[1]","Home Line Scores[2]","Home Line Scores[3]","Home Post Win Prob","Home Pregame Elo","Home Postgame Elo","Away Id","Away Team","Away Conference","Away Division","Away Points","Away Line Scores[0]","Away Line Scores[1]","Away Line Scores[2]","Away Line Scores[3]","Away Post Win Prob","Away Pregame Elo","Away Postgame Elo","Excitement Index","Highlights","Notes"
"401634300","2024","1","regular","2024-08-31T02:30:00.000Z","false","true","false","false","","3940","Stanford Stadium","24","Stanford","ACC","fbs","27","7","10","0","10","0.10769287584413943","1286","1295","2628","TCU","Big 12","fbs","34","7","3","10","14","0.8923071241558606","1587","1578","9.2635770293","",""
"401635539","2024","2","regular","2024-09-07T23:00:00.000Z","false","true","false","false","","3940","Stanford Stadium","24","Stanford","ACC","fbs","41","7","7","17","10","0.9791731264428654","1282","1282","13","Cal Poly","Big Sky","fcs","7","0","7","0","0","0.02082687355713464","","","4.1003165447","",""
"401634766","2024","4","regular","2024-09-20T23:30:00.000Z","false","true","false","true","","1964","JMA Wireless Dome","183","Syracuse","ACC","fbs","24","0","10","7","7","0.1490440505033184","1386","1378","24","Stanford","ACC","fbs","26","7","6","7","6","0.8509559494966816","1295","1303","8.5694160450","",""
"401635561","2024","5","regular","2024-09-28T23:00:00.000Z","false","true","false","true","","3836","Memorial Stadium (Clemson, SC)","228","Clemson","ACC","fbs","40","10","7","10","13","0.950885889669523","1790","1805","24","Stanford","ACC","fbs","14","0","7","0","7","0.04911411033047697","1303","1288","3.8907327551","",""
"401635573","2024","6","regular","2024-10-05T19:30:00.000Z","false","true","false","true","","3940","Stanford Stadium","24","Stanford","ACC","fbs","7","0","0","7","0","0.03557608201719444","1288","1261","259","Virginia Tech","ACC","fbs","31","7","7","7","10","0.9644239179828056","1617","1644","2.2904037043","",""
"401628981","2024","7","regular","2024-10-12T19:30:00.000Z","false","true","false","false","","3855","Notre Dame Stadium","87","Notre Dame","FBS Independents","fbs","49","7","14","21","7","0.9986558260894001","1994","2026","24","Stanford","ACC","fbs","7","7","0","0","0","0.0013441739105999329","1261","1229","4.7673246003","",""
"401635590","2024","8","regular","2024-10-20T00:00:00.000Z","false","true","false","true","","3940","Stanford Stadium","24","Stanford","ACC","fbs","10","0","7","3","0","0.0010941051437557486","1229","1208","2567","SMU","ACC","fbs","40","21","10","0","9","0.9989058948562443","1765","1786","1.9449475062","",""
"401635599","2024","9","regular","2024-10-26T19:30:00.000Z","false","true","false","true","","3940","Stanford Stadium","24","Stanford","ACC","fbs","24","0","17","0","7","0.32026565036279786","1208","1212","154","Wake Forest","ACC","fbs","27","14","10","0","3","0.6797343496372021","1353","1349","6.1936628219","",""
"401635516","2024","10","regular","2024-11-02T16:00:00.000Z","false","true","false","true","","3670","Carter-Finley Stadium","152","NC State","ACC","fbs","59","14","17","21","7","0.9980640612718844","1460","1514","24","Stanford","ACC","fbs","28","7","7","7","7","0.0019359387281155938","1212","1158","3.6194951636","",""
"401635517","2024","12","regular","2024-11-16T20:30:00.000Z","false","true","false","true","","3940","Stanford Stadium","24","Stanford","ACC","fbs","38","10","3","8","17","0.5560877255633588","1158","1168","97","Louisville","ACC","fbs","35","7","14","7","7","0.44391227443664116","1725","1715","4.9982210658","",""
"401635613","2024","13","regular","2024-11-23T20:30:00.000Z","false","true","false","true","","3831","California Memorial Stadium","25","California","ACC","fbs","24","0","7","3","14","0.8187295997031043","1610","1606","24","Stanford","ACC","fbs","21","14","0","7","0","0.18127040029689567","1168","1172","4.8024372895","",""
"401635625","2024","14","regular","2024-11-29T21:00:00.000Z","false","true","false","false","","3935","CEFCU Stadium","23","San José State","Mountain West","fbs","34","0","17","10","7","0.2736914275899505","1481","1478","24","Stanford","ACC","fbs","31","3","7","7","14","0.7263085724100495","1172","1175","7.0358710140","",""
