"GameId","Week","Team","Opponent","Offense Plays","Offense Drives","Offense Ppa","Offense TotalPPA","Offense SuccessRate","Offense Explosiveness","Offense PowerSuccess","Offense StuffRate","Offense LineYards","Offense LineYardsTotal","Offense SecondLevelYards","Offense SecondLevelYardsTotal","Offense OpenFieldYards","Offense OpenFieldYardsTotal","Offense StandardDowns Ppa","Offense StandardDowns SuccessRate","Offense StandardDowns Explosiveness","Offense PassingDowns Ppa","Offense PassingDowns SuccessRate","Offense PassingDowns Explosiveness","Offense RushingPlays Ppa","Offense RushingPlays TotalPPA","Offense RushingPlays SuccessRate","Offense RushingPlays Explosiveness","Offense PassingPlays Ppa","Offense PassingPlays TotalPPA","Offense PassingPlays SuccessRate","Offense PassingPlays Explosiveness","Defense Plays","Defense Drives","Defense Ppa","Defense TotalPPA","Defense SuccessRate","Defense Explosiveness","Defense PowerSuccess","Defense StuffRate","Defense LineYards","Defense LineYardsTotal","Defense SecondLevelYards","Defense SecondLevelYardsTotal","Defense OpenFieldYards","Defense OpenFieldYardsTotal","Defense StandardDowns Ppa","Defense StandardDowns SuccessRate","Defense StandardDowns Explosiveness","Defense PassingDowns Ppa","Defense PassingDowns SuccessRate","Defense PassingDowns Explosiveness","Defense RushingPlays Ppa","Defense RushingPlays TotalPPA","Defense RushingPlays SuccessRate","Defense RushingPlays Explosiveness","Defense PassingPlays Ppa","Defense PassingPlays TotalPPA","Defense PassingPlays SuccessRate","Defense PassingPlays Explosiveness"
"401628981","7","Stanford","Notre Dame","59","10","-0.06452828086726449","-3.8071685711686047","0.423728813559322","0.8488228030735198","0.5714285714285714","0.16216216216216217","2.675675675675676","99","0.7567567567567568","28","0.5405405405405406","20","-0.1460432372532076","0.46511627906976744","0.773707645704447","0.15454316441995758","0.3125","1.1492834325498111","-0.0038116394262779772","-0.14103065877228516","0.4594594594594595","0.6942665532735325","-0.1666426323816509","-3.66613791239632","0.36363636363636365","1.1772548338984927","66","10","0.49357385226948586","32.57587424978607","0.5151515151515151","1.308105987394051","1","0.10256410256410256","3.9025641025641025","152","1.358974358974359","53","1.564102564102564","61","0.4254575847444533","0.5510204081632653","1.2160772736681371","0.6899089763122268","0.4117647058823529","1.663073883194005","0.4260039206212056","16.61415290422702","0.5384615384615384","1.0687720938272927","0.5911748646503351","15.961721345559047","0.48148148148148145","1.6947222770018917"
"401634300","1","Stanford","TCU","73","13","0.09920440404973706","7.2419214956308045","0.3424657534246575","1.4151094614642092","0.75","0.3333333333333333","1.7272727272727273","57","1.1515151515151516","38","1.8181818181818181","60","0.011608349229047556","0.425531914893617","1.1484091879962697","0.25755111853329116","0.19230769230769232","2.481910555335967","0.10297703426830092","3.39824213085393","0.3333333333333333","1.4323623117789381","0.09609198411942187","3.8436793647768748","0.35","1.4015536505026365","75","13","0.24539441153337113","18.404580865002835","0.5066666666666667","1.1160670413718863","0.5555555555555556","0.2727272727272727","2.618181818181818","86","0.9696969696969697","32","0.3333333333333333","11","0.2592342640283871","0.5660377358490566","1.0394158131408802","0.212052948704469","0.36363636363636365","1.40350914723816","0.06222738026594245","2.0535035487761006","0.5757575757575758","0.6864322807744057","0.3893113646720651","16.351077316226736","0.4523809523809524","1.5457018019693671"
"401634766","4","Stanford","Syracuse","70","12","0.16364771309575607","11.455339916702926","0.44285714285714284","0.9760088594274448","0.8333333333333334","0.12903225806451613","3.4935483870967743","108","1.3225806451612903","41","1.4516129032258065","45","0.09624636957095788","0.5681818181818182","0.7189828099098734","0.2777115252146453","0.23076923076923078","2.0469507324173257","0.10114629241326445","3.135535064811198","0.4838709677419355","0.6754458703250169","0.2133283295356853","8.319804851891726","0.41025641025641024","1.257786661710971","59","12","0.14709060171685556","8.678345501294478","0.4067796610169492","1.5403848498639505","1","0.35714285714285715","1.6714285714285715","23","0.9285714285714286","13","0.6428571428571429","9","0.09277579246781402","0.4594594594594595","1.229451077383628","0.23843823545387996","0.3181818181818182","2.295509725887591","-0.09221977225245163","-1.2910768115343227","0.42857142857142855","0.6448960151299686","0.22154271806286224","9.9694223128288","0.4","1.838881128108611"
"401635516","10","Stanford","NC State","56","12","0.386914437605404","21.667208505902625","0.44642857142857145","1.6769315690181241","1","0.08108108108108109","3.4135135135135135","126","1.1621621621621623","43","3.72972972972973","138","0.3864062623324564","0.5277777777777778","1.324657190235957","0.3878291530967096","0.3","2.7924671018283207","0.49472269773724076","18.30473981627791","0.43243243243243246","1.6427669405235812","0.17697203629603772","3.3624686896247167","0.47368421052631576","1.737668686341756","60","12","0.5654473849765719","33.92684309859431","0.5333333333333333","1.6139730398066614","1","0.13157894736842105","3.3","125","1.3421052631578947","51","3.763157894736842","143","0.49576426009707875","0.5510204081632653","1.389520827777954","0.8758540321670412","0.45454545454545453","2.826014984761681","0.38549469175149925","14.648798286556971","0.42105263157894735","1.6406319144355765","0.8762747641835155","19.27804481203734","0.7272727272727273","1.5873141651777463"
"401635517","12","Stanford","Louisville","71","13","0.22916235464991183","16.27052718014374","0.36619718309859156","1.5143240725990366","1","0.25","2.659375","85","0.8125","26","0.40625","13","0.21771984918935525","0.40816326530612246","1.4323949338525288","0.2546479349938788","0.2727272727272727","1.7874212017540625","-0.0967474111713401","-3.095917157482883","0.25","0.8360209783804395","0.49657549583658006","19.366444337626625","0.46153846153846156","1.8157921144739684","66","12","0.27038484533718793","17.845399792254405","0.5151515151515151","1.1711607219986517","0.4","0.07692307692307693","3.173076923076923","83","0.6923076923076923","18","2.423076923076923","63","0.2877120208912586","0.5625","1.0951779849470042","0.22417904385966625","0.3888888888888889","1.4642369934835775","0.337831586965371","8.783621261099647","0.5384615384615384","1.1723958272608292","0.22654446327886896","9.061778531154758","0.5","1.1702961483151273"
"401635539","2","Stanford","Cal Poly","61","9","0.31578465806390377","19.26286414189813","0.4918032786885246","1.2814671872748915","1","0.25806451612903225","2.235483870967742","69","1.096774193548387","34","1","31","0.18275262099781844","0.5454545454545454","1.0024193301093107","0.6601028716467129","0.35294117647058826","2.3976586159372144","0.017272124915194458","0.5354358723710282","0.41935483870967744","0.9177337005324054","0.6242476089842367","18.727428269527103","0.5666666666666667","1.559616324195616","50","11","-0.011685724679174359","-0.5842862339587179","0.36","1.1336560375120595","0","0.47368421052631576","0.9789473684210527","19","0.3157894736842105","6","0.3684210526315789","7","-0.2639051252594152","0.36666666666666664","0.7388885511011745","0.3666433761911869","0.35","1.7540049447291646","-0.4496684308337134","-8.543700185840555","0.21052631578947367","0.768803202794115","0.2567552887703818","7.959413951881836","0.45161290322580644","1.2378997045743294"
"401635561","5","Stanford","Clemson","71","14","-0.03791413798405967","-2.691903796868236","0.36619718309859156","1.2865140744647559","0.2","0.325","3.22","129","1.525","61","2.525","101","-0.1028081163583406","0.40425531914893614","0.9689007314650813","0.08916990299890716","0.2916666666666667","2.148607434035301","0.2340923854863115","9.36369541945246","0.425","1.3591279100754665","-0.38889029730066765","-12.055599216320697","0.2903225806451613","1.14935460720008","61","15","0.19624889729443148","11.97118273496032","0.3442622950819672","1.6607278417153686","1","0.27586206896551724","2.793103448275862","81","1.4137931034482758","41","1.6896551724137931","49","0.03964277094028689","0.3783783783783784","1.3386591310644813","0.4376833420904044","0.2916666666666667","2.304865263017143","0.17270163345327355","5.008347370144933","0.3103448275862069","1.418232855319123","0.21758860515048084","6.962835364815387","0.375","1.8425990815125528"
"401635573","6","Stanford","Virginia Tech","67","9","-0.040436508975950795","-2.709246101388703","0.3880597014925373","1.1595694126300091","0.75","0.16216216216216217","3.2189189189189187","119","0.972972972972973","36","0.32432432432432434","12","-0.1556060221915697","0.45652173913043476","0.8691701680363363","0.21183956759159533","0.23809523809523808","2.3792462399234346","0.018531014397519977","0.6856475327082392","0.4594594594594595","0.9295737891893243","-0.11316312113656475","-3.3948936340969422","0.3","1.5940055902401915","55","9","0.3262692084375875","17.944806464067312","0.41818181818181815","1.3090478329984694","0.5","0.17142857142857143","2.822857142857143","99","0.6571428571428571","23","0.6571428571428571","23","0.20696493121539322","0.5","0.9341734375478415","0.5194285144163783","0.2857142857142857","2.3711919534419152","0.09875786236609756","3.4565251828134147","0.37142857142857144","0.9380030287647807","0.7244140640626949","14.488281281253899","0.5","1.791406078502265"
"401635590","8","Stanford","SMU","70","15","-0.2181509261811428","-15.270564832679996","0.24285714285714285","1.50028653937655","0","0.39285714285714285","1.5892857142857142","45","0.39285714285714285","11","0.17857142857142858","5","-0.4863651350132047","0.2631578947368421","0.9471099080771032","0.10035344680693076","0.21875","2.2905388698043314","-0.43363784828079455","-12.141859751862247","0.14285714285714285","1.1504348858794158","-0.031106542704961753","-1.2753682509034319","0.3170731707317073","1.6079332019910528","65","14","0.33353952125019837","21.680068881262894","0.46153846153846156","1.4010562132228377","0.6","0.11428571428571428","3.4714285714285715","122","1.1714285714285715","41","1.2285714285714286","43","0.402738552908843","0.54","1.3669584561782973","0.10287608238804964","0.2","1.707936026623701","0.3203047975420366","11.21066791397128","0.4857142857142857","1.1259759848464712","0.3489800322430538","10.469400967291614","0.43333333333333335","1.7607765118688554"
"401635599","9","Stanford","Wake Forest","66","11","0.1437410663515015","9.486910379199099","0.5454545454545454","0.9103414629251204","0.5","0.16","2.932","73","1.52","38","0.76","19","0.0871795256879555","0.5849056603773585","0.6998061712150951","0.37433811674903517","0.38461538461538464","2.2156602715272764","-0.04549023048926827","-1.1372557622317068","0.6","0.5713662517220476","0.25912600344953185","10.624166141430806","0.5121951219512195","1.1524666137844581","75","13","0.07576460321366243","5.682345241024683","0.44","1.0777518177432321","0.8","0.18604651162790697","3.1767441860465118","137","1.1395348837209303","49","1.3488372093023255","58","0.2376771829403304","0.5087719298245614","1.0864268679855202","-0.4369585659207862","0.2222222222222222","1.0148577034866442","-0.23821962471135863","-10.243443862588421","0.4186046511627907","0.5815695036782792","0.4976809094879095","15.925789103613104","0.46875","1.6731705946211757"
