Id,Season,Home Team,Home Points,Home Post Win Prob,Home Pregame Elo,Home Postgame Elo,Away Team,Away Points,Away Post Win Prob,Away Pregame Elo,Away Postgame Elo,Excitement Index
401628981,2024,Notre Dame,49,0.9986558260894,1994,2026,Stanford,7,0.0013441739105999,1261.0,1229.0,4.7673246003
401634300,2024,Stanford,27,0.1076928758441394,1286,1295,TCU,34,0.8923071241558606,1587.0,1578.0,9.2635770293
401634766,2024,Syracuse,24,0.1490440505033184,1386,1378,Stanford,26,0.8509559494966816,1295.0,1303.0,8.569416045
401635516,2024,NC State,59,0.9980640612718844,1460,1514,Stanford,28,0.0019359387281155,1212.0,1158.0,3.6194951636
401635517,2024,Stanford,38,0.5560877255633588,1158,1168,Louisville,35,0.4439122744366411,1725.0,1715.0,4.9982210658
401635561,2024,Clemson,40,0.950885889669523,1790,1805,Stanford,14,0.0491141103304769,1303.0,1288.0,3.8907327551
401635573,2024,Stanford,7,0.0355760820171944,1288,1261,Virginia Tech,31,0.9644239179828056,1617.0,1644.0,2.2904037043
401635590,2024,Stanford,10,0.0010941051437557,1229,1208,SMU,40,0.9989058948562444,1765.0,1786.0,1.9449475062
401635599,2024,Stanford,24,0.3202656503627978,1208,1212,Wake Forest,27,0.6797343496372021,1353.0,1349.0,6.1936628219
401635613,2024,California,24,0.8187295997031043,1610,1606,Stanford,21,0.1812704002968956,1168.0,1172.0,4.8024372895
401635625,2024,San José State,34,0.2736914275899505,1481,1478,Stanford,31,0.7263085724100495,1172.0,1175.0,7.035871014
