GameId,Week,Team,Opponent,Offense Plays,Offense Drives,Offense Ppa,Offense TotalPPA,Offense SuccessRate,Offense Explosiveness,Offense PowerSuccess,Offense StuffRate,Offense LineYards,Offense LineYardsTotal,Offense SecondLevelYards,Offense SecondLevelYardsTotal,Offense OpenFieldYards,Offense OpenFieldYardsTotal,Offense StandardDowns Ppa,Offense StandardDowns SuccessRate,Offense StandardDowns Explosiveness,Offense PassingDowns Ppa,Offense PassingDowns SuccessRate,Offense PassingDowns Explosiveness,Offense RushingPlays Ppa,Offense RushingPlays TotalPPA,Offense RushingPlays SuccessRate,Offense RushingPlays Explosiveness,Offense PassingPlays Ppa,Offense PassingPlays TotalPPA,Offense PassingPlays SuccessRate,Offense PassingPlays Explosiveness,Defense Plays,Defense Drives,Defense Ppa,Defense TotalPPA,Defense SuccessRate,Defense Explosiveness,Defense PowerSuccess,Defense StuffRate,Defense LineYards,Defense LineYardsTotal,Defense SecondLevelYards,Defense SecondLevelYardsTotal,Defense OpenFieldYards,Defense OpenFieldYardsTotal,Defense StandardDowns Ppa,Defense StandardDowns SuccessRate,Defense StandardDowns Explosiveness,Defense PassingDowns Ppa,Defense PassingDowns SuccessRate,Defense PassingDowns Explosiveness,Defense RushingPlays Ppa,Defense RushingPlays TotalPPA,Defense RushingPlays SuccessRate,Defense RushingPlays Explosiveness,Defense PassingPlays Ppa,Defense PassingPlays TotalPPA,Defense PassingPlays SuccessRate,Defense PassingPlays Explosiveness,Id,Season,Home Team,Home Points,Home Post Win Prob,Home Pregame Elo,Home Postgame Elo,Away Team,Away Points,Away Post Win Prob,Away Pregame Elo,Away Postgame Elo,Excitement Index,Id.1,HomeTeam,HomeScore,AwayTeam,AwayScore,LineProvider,OverUnder,Spread,FormattedSpread,OpeningSpread,OpeningOverUnder,HomeMoneyline,AwayMoneyline,Game Id,School,fumblesRecovered,rushingTDs,puntReturnYards,puntReturnTDs,puntReturns,passingTDs,kickReturnYards,kickReturnTDs,kickReturns,kickingPoints,interceptionYards,interceptionTDs,passesIntercepted,tacklesForLoss,defensiveTDs,tackles,sacks,qbHurries,passesDeflected,possessionTime,interceptions,fumblesLost,turnovers,totalPenaltiesYards,yardsPerRushAttempt,rushingAttempts,rushingYards,yardsPerPass,completionAttempts,netPassingYards,totalYards,fourthDownEff,thirdDownEff,firstDowns,totalFumbles,Outcome,Year
401309900.00,12.00,Stanford,California,71.00,12.00,-0.05,-3.57,0.42,0.96,0.80,0.14,2.68,59.00,0.27,6.00,,,-0.08,0.47,0.66,0.02,0.32,1.94,-0.22,-4.82,0.45,0.49,0.10,4.88,0.43,1.19,62.00,11.00,0.56,34.76,0.55,1.44,1.00,0.06,4.31,138.00,1.84,59.00,5.91,189.00,0.61,0.61,1.36,0.43,0.39,1.75,0.68,21.84,0.63,1.25,0.55,16.05,0.48,1.71,401309900.00,2021.00,Stanford,11.00,0.00,1359.00,1291.00,California,41.00,1.00,1488.00,1556.00,2.92,401309900.00,Stanford,11.00,California,41.00,Bovada,45.50,2.50,California -2.5,3.50,43.50,115.00,-135.00,401309900.00,Stanford,1.00,1.00,0.00,0.00,0.00,0.00,128.00,0.00,8.00,3.00,20.00,0.00,1.00,3.00,0.00,38.00,0.00,0.00,2.00,1.18,2.00,0.00,2.00,14763.00,1.70,26.00,43.00,5.60,26-43,239.00,282.00,45294.00,45394.00,21.00,0.00,-1.00,2021.00
401282711.00,13.00,Stanford,Notre Dame,47.00,13.00,0.06,2.86,0.36,1.06,1.00,0.18,3.32,73.00,1.45,32.00,0.55,12.00,0.04,0.47,0.85,0.10,0.18,2.02,-0.12,-2.54,0.41,0.44,0.22,5.40,0.32,1.76,70.00,13.00,0.44,30.62,0.54,1.23,0.67,0.28,2.88,92.00,1.53,49.00,1.84,59.00,0.43,0.61,1.20,0.45,0.31,1.43,0.40,12.69,0.53,1.16,0.47,17.93,0.55,1.28,401282711.00,2021.00,Stanford,14.00,0.00,1291.00,1283.00,Notre Dame,45.00,1.00,1984.00,1992.00,0.95,401282711.00,Stanford,14.00,Notre Dame,45.00,Bovada,53.00,20.00,Notre Dame -20.0,17.50,52.50,750.00,-1400.00,401282711.00,Stanford,0.00,1.00,0.00,0.00,0.00,1.00,72.00,0.00,3.00,2.00,23.00,0.00,1.00,9.00,0.00,36.00,2.00,0.00,2.00,1.08,0.00,2.00,2.00,23621.00,2.50,22.00,55.00,6.90,20-25,172.00,227.00,0-0,45362.00,11.00,3.00,-1.00,2021.00
401403980.00,2.00,Stanford,USC,79.00,11.00,0.22,17.38,0.49,1.07,1.00,0.21,3.31,129.00,1.59,62.00,2.05,80.00,0.25,0.58,1.01,0.12,0.21,1.56,0.48,18.72,0.56,1.12,-0.03,-1.34,0.43,1.01,63.00,12.00,0.44,27.89,0.52,1.33,1.00,0.12,3.82,126.00,1.61,53.00,1.06,35.00,0.47,0.59,1.16,0.36,0.35,2.10,0.30,9.96,0.48,0.82,0.60,17.93,0.57,1.81,401403980.00,2022.00,Stanford,28.00,0.03,1355.00,1349.00,USC,41.00,0.97,1612.00,1618.00,2.85,401403980.00,Stanford,28.00,USC,41.00,Bovada,67.00,9.50,USC -9.5,10.00,65.00,255.00,-310.00,401403980.00,Stanford,0.00,3.00,0.00,0.00,0.00,1.00,90.00,0.00,4.00,4.00,0.00,0.00,0.00,5.00,0.00,38.00,3.00,3.00,1.00,1.23,2.00,2.00,4.00,15462.00,4.90,45.00,221.00,6.30,20-35,220.00,441.00,45356.00,45425.00,33.00,2.00,-1.00,2022.00
401404001.00,4.00,Stanford,Washington,62.00,12.00,0.17,10.52,0.37,1.67,0.75,0.23,2.69,81.00,0.97,29.00,0.53,16.00,-0.04,0.34,1.27,0.68,0.44,2.42,-0.01,-0.17,0.37,0.93,0.47,14.72,0.39,2.35,69.00,12.00,0.41,28.39,0.54,1.11,1.00,0.09,3.77,121.00,1.28,41.00,1.38,44.00,0.40,0.59,1.05,0.45,0.40,1.36,0.45,14.50,0.59,0.94,0.38,13.89,0.49,1.30,401404001.00,2022.00,Washington,40.00,0.89,1607.00,1623.00,Stanford,22.00,0.11,1349.00,1333.00,2.63,401404001.00,Washington,40.00,Stanford,22.00,Bovada,62.00,-14.00,Washington -14.0,-11.50,61.00,-550.00,390.00,401404001.00,Stanford,0.00,0.00,8.00,0.00,2.00,3.00,106.00,0.00,6.00,2.00,0.00,0.00,0.00,4.00,0.00,36.00,0.00,0.00,3.00,1.10,1.00,2.00,3.00,45345.00,2.40,36.00,86.00,11.00,17-26,286.00,372.00,45293.00,45424.00,18.00,2.00,-1.00,2022.00
401404005.00,5.00,Stanford,Oregon,70.00,14.00,0.10,7.24,0.37,1.22,0.50,0.29,2.46,76.00,1.06,33.00,0.87,27.00,0.07,0.45,1.00,0.16,0.23,1.95,-0.03,-1.08,0.39,0.88,0.21,8.31,0.36,1.50,72.00,15.00,0.28,19.88,0.47,1.29,1.00,0.11,4.26,154.00,2.06,74.00,4.17,150.00,0.29,0.57,1.15,0.25,0.28,1.82,0.67,24.25,0.67,1.25,0.00,-0.13,0.29,1.38,401404005.00,2022.00,Oregon,45.00,0.97,1567.00,1585.00,Stanford,27.00,0.03,1333.00,1315.00,2.14,401404005.00,Oregon,45.00,Stanford,27.00,Bovada,63.00,-17.50,Oregon -17.5,-16.00,62.50,-750.00,500.00,401404005.00,Stanford,0.00,0.00,11.00,0.00,1.00,3.00,94.00,0.00,4.00,9.00,3.00,0.00,1.00,5.00,0.00,31.00,1.00,0.00,6.00,1.36,0.00,1.00,1.00,17654.00,3.70,34.00,127.00,5.40,22-38,205.00,332.00,45293.00,45428.00,22.00,3.00,-1.00,2022.00
401404010.00,6.00,Stanford,Oregon State,61.00,12.00,0.17,10.35,0.39,1.29,1.00,0.15,2.97,77.00,0.88,23.00,0.65,17.00,0.04,0.42,1.01,0.48,0.33,2.11,0.13,3.48,0.42,0.90,0.20,6.87,0.37,1.62,69.00,12.00,0.28,19.43,0.42,1.38,1.00,0.14,2.78,100.00,1.31,47.00,1.86,67.00,0.34,0.52,1.15,0.17,0.22,2.50,0.20,7.03,0.42,1.04,0.38,12.40,0.42,1.74,401404010.00,2022.00,Stanford,27.00,0.13,1315.00,1325.00,Oregon State,28.00,0.87,1559.00,1549.00,7.06,401404010.00,Stanford,27.00,Oregon State,28.00,Bovada,53.00,4.00,Oregon State -4.0,7.00,58.50,170.00,-200.00,401404010.00,Stanford,0.00,1.00,19.00,0.00,2.00,2.00,42.00,0.00,2.00,9.00,0.00,0.00,0.00,8.00,0.00,34.00,4.00,2.00,1.00,1.10,1.00,0.00,1.00,27576.00,3.30,27.00,90.00,7.90,20-34,269.00,359.00,0-0,45424.00,19.00,0.00,-1.00,2022.00
401404016.00,7.00,Stanford,Notre Dame,81.00,12.00,0.08,6.83,0.38,1.14,0.83,0.24,2.13,88.00,0.49,20.00,,,-0.16,0.40,0.72,0.54,0.36,2.02,-0.19,-7.77,0.32,0.50,0.36,14.60,0.45,1.61,61.00,11.00,-0.06,-3.43,0.41,0.94,0.67,0.22,2.51,80.00,1.28,41.00,1.13,36.00,-0.21,0.49,0.68,0.37,0.19,2.81,-0.14,-4.56,0.44,0.79,0.04,1.13,0.38,1.12,401404016.00,2022.00,Notre Dame,14.00,0.24,1797.00,1765.00,Stanford,16.00,0.76,1325.00,1357.00,8.14,401404016.00,Notre Dame,14.00,Stanford,16.00,Bovada,53.00,-16.50,Notre Dame -16.5,-15.00,52.50,-750.00,500.00,401404016.00,Stanford,4.00,1.00,0.00,0.00,0.00,0.00,35.00,0.00,2.00,10.00,0.00,0.00,0.00,6.00,0.00,23.00,2.00,0.00,6.00,1.50,0.00,0.00,0.00,45334.00,2.30,42.00,97.00,7.40,26-39,288.00,385.00,0-2,45489.00,21.00,2.00,1.00,2022.00
401404018.00,8.00,Stanford,Arizona State,81.00,12.00,-0.01,-1.18,0.38,1.13,1.00,0.24,2.91,61.00,0.90,19.00,1.86,39.00,0.05,0.46,1.01,-0.12,0.24,1.53,0.10,2.13,0.43,0.91,0.01,0.51,0.37,1.22,60.00,11.00,0.15,8.74,0.38,1.42,1.00,0.20,3.18,95.00,1.03,31.00,0.90,27.00,0.03,0.46,0.97,0.36,0.24,3.01,0.08,2.32,0.47,0.75,0.31,8.85,0.31,2.46,401404018.00,2022.00,Stanford,15.00,0.01,1357.00,1362.00,Arizona State,14.00,0.99,1521.00,1516.00,9.94,401404018.00,Stanford,15.00,Arizona State,14.00,Bovada,52.50,-3.00,Stanford -3.0,-3.50,54.50,-150.00,130.00,401404018.00,Stanford,0.00,0.00,5.00,0.00,1.00,0.00,48.00,0.00,2.00,15.00,0.00,0.00,1.00,10.00,0.00,29.00,4.00,4.00,3.00,1.32,1.00,0.00,1.00,22068.00,3.10,25.00,78.00,5.50,33-58,320.00,398.00,0-1,45554.00,28.00,1.00,1.00,2022.00
401404025.00,9.00,Stanford,UCLA,65.00,12.00,0.05,2.96,0.38,1.08,1.00,0.13,3.54,106.00,1.53,46.00,0.73,22.00,-0.08,0.41,0.79,0.30,0.33,1.85,0.17,4.99,0.47,0.93,-0.06,-2.03,0.31,1.28,74.00,10.00,0.41,30.23,0.49,1.47,0.88,0.12,3.74,161.00,1.65,71.00,3.19,137.00,0.52,0.58,1.35,0.14,0.27,2.05,0.62,26.83,0.53,1.60,0.11,3.40,0.42,1.24,401404025.00,2022.00,UCLA,38.00,1.00,1700.00,1727.00,Stanford,13.00,0.00,1362.00,1335.00,2.12,401404025.00,UCLA,38.00,Stanford,13.00,Bovada,64.50,-16.50,UCLA -16.5,-16.00,63.50,-800.00,525.00,401404025.00,Stanford,2.00,0.00,3.00,0.00,1.00,1.00,57.00,0.00,2.00,7.00,0.00,0.00,0.00,7.00,0.00,49.00,3.00,1.00,2.00,1.31,1.00,0.00,1.00,45376.00,4.30,34.00,145.00,4.00,15-31,125.00,270.00,45292.00,45395.00,18.00,1.00,-1.00,2022.00
401404032.00,10.00,Stanford,Washington State,69.00,14.00,-0.10,-7.15,0.42,0.85,0.71,0.19,2.95,80.00,1.44,39.00,1.19,32.00,-0.27,0.45,0.72,0.30,0.35,1.26,-0.23,-6.32,0.56,0.55,-0.02,-0.82,0.33,1.17,70.00,13.00,0.30,21.30,0.47,1.25,0.75,0.24,3.11,115.00,1.59,59.00,4.19,155.00,0.39,0.57,1.14,0.08,0.21,2.11,0.45,16.65,0.51,1.34,0.14,4.65,0.42,1.13,401404032.00,2022.00,Stanford,14.00,0.10,1335.00,1260.00,Washington State,52.00,0.90,1615.00,1690.00,2.20,401404032.00,Stanford,14.00,Washington State,52.00,Bovada,48.00,3.00,Washington State -3.0,4.50,48.50,170.00,,401404032.00,Stanford,0.00,2.00,10.00,0.00,1.00,0.00,152.00,0.00,8.00,2.00,0.00,0.00,0.00,5.00,0.00,33.00,0.00,3.00,4.00,1.24,0.00,4.00,4.00,12905.00,2.50,28.00,71.00,6.30,25-42,266.00,337.00,0-2,45394.00,19.00,5.00,-1.00,2022.00
