week,date,team1,team2,location
14,TBD,,,(9)Clemson
14,TBD,,,Kansas
14,10:30 PM,,,Fresno State
14,TBD,,,Syracuse
14,TBD,,,North Texas
14,3:00 PM,,,Kennesaw State
14,TBD,,,Coastal Carolina
14,TBD,,,Texas State
14,TBD,,,Rutgers
14,TBD,,,(4)Ohio State
14,TBD,,,Maryland
14,TBD,,,Utah
14,TBD,,,Appalachian State
14,TBD,,,(5)Texas
14,TBD,,,Arkansas
14,3:00 PM,,,Arkansas State
14,TBD,,,Old Dominion
14,12:45 PM,,,(2)Georgia
14,12:00 PM,,,Florida
14,TBD,,,Mississippi State
14,2:30 PM,,,Middle Tennessee State
14,TBD,,,Boston College
14,TBD,,,Michigan
14,TBD,,,Minnesota
14,TBD,,,Louisville
14,TBD,,,Alabama-Birmingham
14,12:00 PM,,,Jacksonville State
14,3:30 PM,,,Utah State
14,TBD,,,Southern Mississippi
14,TBD,,,UCLA
14,TBD,,,Virginia
14,TBD,,,California
14,TBD,,,Auburn
14,TBD,,,Oklahoma State
14,1:00 PM,,,(7)Tennessee
14,TBD,,,Louisiana
14,TBD,,,South Florida
14,TBD,,,(8)Louisiana State
14,TBD,,,Duke
14,TBD,,,(6)Miami (FL)
14,6:30 PM,,,Oregon State
14,1:00 PM,,,Liberty
14,TBD,,,Nebraska
14,4:00 PM,,,South Carolina
15,7:00 PM,,,Buffalo
15,7:00 PM,,,Akron
15,7:30 PM,,,Tulane
15,TBD,,,Charlotte
15,TBD,,,Ohio
15,7:30 PM,,,(2)Georgia
15,3:30 PM,,,Sam Houston
15,12:00 PM,,,Bowling Green
15,12:00 PM,,,Wisconsin
15,3:30 PM,,,(18)Mississippi
15,TBD,,,East Carolina
15,7:30 PM,,,Iowa
15,12:00 PM,,,Colorado
15,4:00 PM,,,San Jose State
15,3:30 PM,,,South Alabama
15,8:00 PM,,,Central Florida
15,TBD,,,Colorado State
15,TBD,,,San Diego State
15,TBD,,,Georgia Southern
15,TBD,,,Arizona
15,TBD,,,(21)Missouri
15,TBD,,,(15)Alabama
15,TBD,,,(22)Southern Methodist
15,TBD,,,Northern Illinois
15,TBD,,,Georgia State
15,TBD,,,Massachusetts
15,TBD,,,Wake Forest
15,TBD,,,Western Michigan
15,TBD,,,Florida State
15,TBD,,,Tulsa
15,TBD,,,UCLA
15,TBD,,,(11)Brigham Young
15,TBD,,,Northwestern
15,3:30 PM,,,Western Kentucky
15,TBD,,,Baylor
15,TBD,,,(10)Iowa State
15,3:00 PM,,,Louisiana Tech
15,TBD,,,Louisiana-Monroe
15,TBD,,,Kentucky
15,TBD,,,James Madison
15,TBD,,,(3)Penn State
15,TBD,,,Syracuse
15,12:00 PM,,,(4)Ohio State
15,2:00 PM,,,Florida International
15,8:00 PM,,,Nevada-Las Vegas
15,11:00 PM,,,Hawaii
15,TBD,,,North Carolina
15,TBD,,,Temple
15,TBD,,,Southern California
15,TBD,,,(8)Louisiana State
15,3:00 PM,,,Arkansas State
15,12:00 PM,,,(17)Boise State
15,TBD,,,Boston College
15,TBD,,,(13)Indiana
15,TBD,,,Michigan State
15,TBD,,,(9)Clemson
15,TBD,,,Rice
15,TBD,,,Troy
15,TBD,,,(25)Vanderbilt
15,TBD,,,(14)Texas A&M
15,TBD,,,Cincinnati
15,4:00 PM,,,New Mexico State
15,12:00 PM,,,(23)Army
15,TBD,,,Virginia Tech
15,TBD,,,(1)Oregon
15,TBD,,,Texas Tech
15,6:30 PM,,,Washington State
16,3:00 PM,,,(24)Navy
