week,date,team1,team2,location
3,7:00 PM,41,7,Cal Poly
3,12:00 PM,31,28,(23)Georgia Tech
3,7:30 PM,51,10,(24)North Carolina State
3,12:00 PM,31,12,(10)Michigan
3,12:45 PM,52,10,McNeese State
3,8:00 PM,45,0,Long Island
3,4:00 PM,49,10,Texas-San Antonio
3,3:30 PM,38,23,Massachusetts
3,3:30 PM,23,12,Baylor
3,7:30 PM,55,0,Alcorn State
3,7:00 PM,31,30,Wake Forest
3,4:30 PM,31,14,Marshall
3,3:30 PM,30,9,Eastern Michigan
3,10:00 PM,37,16,Texas Tech
3,6:00 PM,49,14,Albany
3,7:00 PM,31,0,Eastern Kentucky
3,3:30 PM,27,13,South Dakota
4,7:30 PM,31,28,Texas State
4,7:30 PM,87,10,Northwestern State
4,8:00 PM,31,7,(20)Arizona
4,7:00 PM,23,20,Kansas
4,6:00 PM,31,20,Colgate
4,12:00 PM,42,10,Wisconsin
4,4:00 PM,21,19,East Carolina
4,4:15 PM,37,27,Alabama-Birmingham
4,7:30 PM,45,19,New Mexico
4,7:30 PM,31,3,Air Force
4,9:00 PM,34,14,Wyoming
4,1:00 PM,34,3,Massachusetts
4,10:30 PM,31,10,San Diego State
4,7:30 PM,35,34,Texas Christian
4,6:00 PM,27,26,Gardner-Webb
4,12:00 PM,27,16,Miami (OH)
4,2:00 PM,28,20,Temple
4,7:30 PM,28,9,Colorado State
4,6:00 PM,26,21,Connecticut
4,7:00 PM,37,34,Jacksonville State
4,6:00 PM,38,20,Florida International
4,10:30 PM,48,0,New Mexico State
4,7:30 PM,13,12,Kentucky
4,6:00 PM,42,14,South Carolina State
4,7:00 PM,36,32,Vanderbilt
4,3:30 PM,59,7,Virginia Military Institute
4,8:00 PM,33,7,Rice
4,12:00 PM,30,9,Central Michigan
4,7:30 PM,42,13,UCLA
4,4:00 PM,38,21,Troy
4,6:00 PM,28,10,Texas-El Paso
4,12:00 PM,36,33,South Carolina
4,8:00 PM,27,13,Virginia
4,12:00 PM,20,12,Florida State
4,3:30 PM,62,0,Ball State
4,12:00 PM,28,18,Arkansas State
4,3:30 PM,40,0,Prairie View A&M
4,3:30 PM,27,0,Nevada
4,6:30 PM,40,6,Wake Forest
4,12:45 PM,27,21,(24)Boston College
4,7:30 PM,34,3,Northern Iowa
4,6:00 PM,45,10,North Carolina Central
4,12:00 PM,30,20,Louisiana Tech
4,7:30 PM,31,7,Eastern Illinois
4,3:30 PM,66,7,Purdue
4,3:30 PM,21,6,Morgan State
4,3:30 PM,34,19,Tulane
4,12:00 PM,45,10,Tulsa
4,3:30 PM,49,14,Oregon State
4,3:30 PM,38,34,West Virginia
4,7:00 PM,31,13,Hawaii
4,7:00 PM,31,10,Kennesaw State
4,7:00 PM,49,24,Southern Mississippi
4,7:45 PM,71,0,Kent State
4,7:00 PM,56,7,Texas-San Antonio
4,3:30 PM,33,20,Florida
4,12:00 PM,66,21,North Texas
4,7:30 PM,41,17,Mississippi State
4,4:30 PM,38,21,Utah State
4,6:00 PM,37,17,Old Dominion
4,3:30 PM,24,19,Washington
4,7:00 PM,49,21,Middle Tennessee State
4,6:30 PM,59,31,Bethune-Cookman
