week,date,team1,team1_score,team2,team2_score
3,"Sep 7, 2024",(20)Arizona,22,Northern Arizona,10
3,"Sep 7, 2024",Arizona State,30,Mississippi State,23
3,"Sep 7, 2024",Arkansas State,28,Tulsa,24
3,"Sep 7, 2024",Army,24,Florida Atlantic,7
3,"Sep 7, 2024",Ball State,42,Missouri State,34
3,"Sep 7, 2024",Boston College,56,Duquesne,0
3,"Sep 7, 2024",California,21,Auburn,14
3,"Sep 7, 2024",Central Florida,45,Sam Houston,14
3,"Sep 7, 2024",(25)Clemson,66,Appalachian State,20
3,"Sep 7, 2024",Coastal Carolina,40,William & Mary,21
3,"Sep 7, 2024",Colorado State,38,Northern Colorado,17
3,"Sep 7, 2024",Connecticut,63,Merrimack,17
3,"Sep 7, 2024",East Carolina,20,Old Dominion,14
3,"Sep 7, 2024",Florida,45,Samford,7
3,"Sep 7, 2024",Florida International,52,Central Michigan,16
3,"Sep 7, 2024",Fresno State,46,Sacramento State,30
3,"Sep 7, 2024",(1)Georgia,48,Tennessee Tech,3
3,"Sep 7, 2024",Georgia Southern,20,Nevada,17
3,"Sep 7, 2024",Georgia State,24,Chattanooga,21
3,"Sep 7, 2024",Idaho,17,Wyoming,13
3,"Sep 7, 2024",Illinois,23,(19)Kansas,17
3,"Sep 7, 2024",Iowa State,20,(21)Iowa,19
3,"Sep 7, 2024",James Madison,13,Gardner-Webb,6
3,"Sep 7, 2024",(17)Kansas State,34,Tulane,27
3,"Sep 7, 2024",Liberty,30,New Mexico State,24
3,"Sep 7, 2024",Louisiana,34,Kennesaw State,10
3,"Sep 7, 2024",(18)Louisiana State,44,Nicholls State,21
3,"Sep 7, 2024",Louisiana-Monroe,32,Alabama-Birmingham,6
3,"Sep 7, 2024",(22)Louisville,49,Jacksonville State,14
3,"Sep 7, 2024",Memphis,38,Troy,17
3,"Sep 7, 2024",(12)Miami (FL),56,Florida A&M,9
3,"Sep 7, 2024",Michigan State,27,Maryland,24
3,"Sep 7, 2024",Minnesota,48,Rhode Island,0
3,"Sep 7, 2024",(6)Mississippi,52,Middle Tennessee State,3
3,"Sep 7, 2024",(9)Missouri,38,Buffalo,0
3,"Sep 7, 2024",Navy,38,Temple,11
3,"Sep 7, 2024",Nebraska,28,Colorado,10
3,"Sep 7, 2024",Nevada-Las Vegas,72,Utah Tech,14
3,"Sep 7, 2024",North Carolina,38,Charlotte,20
3,"Sep 7, 2024",North Texas,35,Stephen F. Austin,20
3,"Sep 7, 2024",Northern Illinois,16,(5)Notre Dame,14
3,"Sep 7, 2024",Ohio,27,South Alabama,20
3,"Sep 7, 2024",(2)Ohio State,56,Western Michigan,0
3,"Sep 7, 2024",(15)Oklahoma,16,Houston,12
3,"Sep 7, 2024",(16)Oklahoma State,39,Arkansas,31
3,"Sep 7, 2024",(7)Oregon,37,Boise State,34
3,"Sep 7, 2024",Oregon State,21,San Diego State,0
3,"Sep 7, 2024",(8)Penn State,34,Bowling Green,27
3,"Sep 7, 2024",Pittsburgh,28,Cincinnati,27
3,"Sep 7, 2024",Rice,69,Texas Southern,7
3,"Sep 7, 2024",Rutgers,49,Akron,17
3,"Sep 7, 2024",San Jose State,17,Air Force,7
3,"Sep 7, 2024",South Carolina,31,Kentucky,6
3,"Sep 7, 2024",(13)Southern California,48,Utah State,0
3,"Sep 7, 2024",Southern Mississippi,35,Southeastern Louisiana,10
3,"Sep 7, 2024",Southern Utah,27,Texas-El Paso,24
3,"Sep 7, 2024",St. Francis (PA),23,Kent State,17
3,"Sep 7, 2024",Stanford,41,Cal Poly,7
3,"Sep 7, 2024",Syracuse,31,(23)Georgia Tech,28
3,"Sep 7, 2024",(14)Tennessee,51,(24)North Carolina State,10
3,"Sep 7, 2024",(3)Texas,31,(10)Michigan,12
3,"Sep 7, 2024",Texas A&M,52,McNeese State,10
3,"Sep 7, 2024",Texas Christian,45,Long Island,0
3,"Sep 7, 2024",Texas State,49,Texas-San Antonio,10
3,"Sep 7, 2024",Toledo,38,Massachusetts,23
3,"Sep 7, 2024",(11)Utah,23,Baylor,12
3,"Sep 7, 2024",Vanderbilt,55,Alcorn State,0
3,"Sep 7, 2024",Virginia,31,Wake Forest,30
3,"Sep 7, 2024",Virginia Tech,31,Marshall,14
3,"Sep 7, 2024",Washington,30,Eastern Michigan,9
3,"Sep 7, 2024",Washington State,37,Texas Tech,16
3,"Sep 7, 2024",West Virginia,49,Albany,14
3,"Sep 7, 2024",Western Kentucky,31,Eastern Kentucky,0
3,"Sep 7, 2024",Wisconsin,27,South Dakota,13
4,"Sep 12, 2024",Arizona State,31,Texas State,28
4,"Sep 12, 2024",South Alabama,87,Northwestern State,10
4,"Sep 13, 2024",(14)Kansas State,31,(20)Arizona,7
4,"Sep 13, 2024",Nevada-Las Vegas,23,Kansas,20
4,"Sep 14, 2024",Akron,31,Colgate,20
4,"Sep 14, 2024",(4)Alabama,42,Wisconsin,10
4,"Sep 14, 2024",Appalachian State,21,East Carolina,19
4,"Sep 14, 2024",Arkansas,37,Alabama-Birmingham,27
4,"Sep 14, 2024",Auburn,45,New Mexico,19
4,"Sep 14, 2024",Baylor,31,Air Force,3
4,"Sep 14, 2024",Brigham Young,34,Wyoming,14
4,"Sep 14, 2024",Buffalo,34,Massachusetts,3
4,"Sep 14, 2024",California,31,San Diego State,10
4,"Sep 14, 2024",Central Florida,35,Texas Christian,34
4,"Sep 14, 2024",Charlotte,27,Gardner-Webb,26
4,"Sep 14, 2024",Cincinnati,27,Miami (OH),16
4,"Sep 14, 2024",Coastal Carolina,28,Temple,20
4,"Sep 14, 2024",Colorado,28,Colorado State,9
4,"Sep 14, 2024",Duke,26,Connecticut,21
4,"Sep 14, 2024",Eastern Michigan,37,Jacksonville State,34
4,"Sep 14, 2024",Florida Atlantic,38,Florida International,20
4,"Sep 14, 2024",Fresno State,48,New Mexico State,0
4,"Sep 14, 2024",(1)Georgia,13,Kentucky,12
4,"Sep 14, 2024",Georgia Southern,42,South Carolina State,14
4,"Sep 14, 2024",Georgia State,36,Vanderbilt,32
4,"Sep 14, 2024",Georgia Tech,59,Virginia Military Institute,7
4,"Sep 14, 2024",Houston,33,Rice,7
4,"Sep 14, 2024",Illinois,30,Central Michigan,9
4,"Sep 14, 2024",Indiana,42,UCLA,13
4,"Sep 14, 2024",Iowa,38,Troy,21
4,"Sep 14, 2024",Liberty,28,Texas-El Paso,10
4,"Sep 14, 2024",(16)Louisiana State,36,South Carolina,33
4,"Sep 14, 2024",Maryland,27,Virginia,13
4,"Sep 14, 2024",Memphis,20,Florida State,12
4,"Sep 14, 2024",(10)Miami (FL),62,Ball State,0
4,"Sep 14, 2024",(17)Michigan,28,Arkansas State,18
4,"Sep 14, 2024",Michigan State,40,Prairie View A&M,0
4,"Sep 14, 2024",Minnesota,27,Nevada,0
4,"Sep 14, 2024",(5)Mississippi,40,Wake Forest,6
4,"Sep 14, 2024",(6)Missouri,27,(24)Boston College,21
4,"Sep 14, 2024",(23)Nebraska,34,Northern Iowa,3
4,"Sep 14, 2024",North Carolina,45,North Carolina Central,10
4,"Sep 14, 2024",North Carolina State,30,Louisiana Tech,20
4,"Sep 14, 2024",Northwestern,31,Eastern Illinois,7
4,"Sep 14, 2024",(18)Notre Dame,66,Purdue,7
4,"Sep 14, 2024",Ohio,21,Morgan State,6
4,"Sep 14, 2024",(15)Oklahoma,34,Tulane,19
4,"Sep 14, 2024",(13)Oklahoma State,45,Tulsa,10
4,"Sep 14, 2024",(9)Oregon,49,Oregon State,14
4,"Sep 14, 2024",Pittsburgh,38,West Virginia,34
4,"Sep 14, 2024",Sam Houston,31,Hawaii,13
4,"Sep 14, 2024",San Jose State,31,Kennesaw State,10
4,"Sep 14, 2024",South Florida,49,Southern Mississippi,24
4,"Sep 14, 2024",(7)Tennessee,71,Kent State,0
4,"Sep 14, 2024",(2)Texas,56,Texas-San Antonio,7
4,"Sep 14, 2024",Texas A&M,33,Florida,20
4,"Sep 14, 2024",Texas Tech,66,North Texas,21
4,"Sep 14, 2024",Toledo,41,Mississippi State,17
4,"Sep 14, 2024",(12)Utah,38,Utah State,21
4,"Sep 14, 2024",Virginia Tech,37,Old Dominion,17
4,"Sep 14, 2024",Washington State,24,Washington,19
4,"Sep 14, 2024",Western Kentucky,49,Middle Tennessee State,21
4,"Sep 14, 2024",Western Michigan,59,Bethune-Cookman,31
5,"Sep 19, 2024",South Alabama,48,Appalachian State,14
5,"Sep 20, 2024",(24)Illinois,31,(22)Nebraska,24
5,"Sep 20, 2024",Stanford,26,Syracuse,24
5,"Sep 20, 2024",Washington State,54,San Jose State,52
5,"Sep 21, 2024",Arkansas,24,Auburn,14
5,"Sep 21, 2024",Army,37,Rice,14
5,"Sep 21, 2024",Boise State,56,Portland State,14
5,"Sep 21, 2024",Boston College,23,Michigan State,19
5,"Sep 21, 2024",Brigham Young,38,(13)Kansas State,9
5,"Sep 21, 2024",Buffalo,23,(23)Northern Illinois,20
5,"Sep 21, 2024",Central Michigan,37,Ball State,34
5,"Sep 21, 2024",Cincinnati,34,Houston,0
5,"Sep 21, 2024",(21)Clemson,59,North Carolina State,35
5,"Sep 21, 2024",Colorado,38,Baylor,31
5,"Sep 21, 2024",Colorado State,27,Texas-El Paso,17
5,"Sep 21, 2024",Connecticut,48,Florida Atlantic,14
5,"Sep 21, 2024",Duke,45,Middle Tennessee State,17
5,"Sep 21, 2024",Eastern Michigan,36,St. Francis (PA),0
5,"Sep 21, 2024",Florida,45,Mississippi State,28
5,"Sep 21, 2024",Florida State,14,California,9
5,"Sep 21, 2024",Fresno State,38,New Mexico,21
5,"Sep 21, 2024",Indiana,52,Charlotte,14
5,"Sep 21, 2024",Iowa,31,Minnesota,14
5,"Sep 21, 2024",(20)Iowa State,52,Arkansas State,7
5,"Sep 21, 2024",Jacksonville State,44,Southern Mississippi,7
5,"Sep 21, 2024",James Madison,70,North Carolina,50
5,"Sep 21, 2024",Kentucky,41,Ohio,6
5,"Sep 21, 2024",Liberty,35,East Carolina,24
5,"Sep 21, 2024",(16)Louisiana State,34,UCLA,17
5,"Sep 21, 2024",(19)Louisville,31,Georgia Tech,19
5,"Sep 21, 2024",Maryland,38,Villanova,20
5,"Sep 21, 2024",Massachusetts,35,Central Connecticut State,31
5,"Sep 21, 2024",(8)Miami (FL),50,South Florida,15
5,"Sep 21, 2024",(18)Michigan,27,(11)Southern California,24
5,"Sep 21, 2024",(5)Mississippi,52,Georgia Southern,13
5,"Sep 21, 2024",(7)Missouri,30,Vanderbilt,27
5,"Sep 21, 2024",Monmouth,45,Florida International,42
5,"Sep 21, 2024",Navy,56,Memphis,44
5,"Sep 21, 2024",Nevada,49,Eastern Washington,16
5,"Sep 21, 2024",North Texas,44,Wyoming,17
5,"Sep 21, 2024",(17)Notre Dame,28,Miami (OH),3
5,"Sep 21, 2024",(3)Ohio State,49,Marshall,14
5,"Sep 21, 2024",Oregon State,38,Purdue,21
5,"Sep 21, 2024",(10)Penn State,56,Kent State,0
5,"Sep 21, 2024",Pittsburgh,73,Youngstown State,17
5,"Sep 21, 2024",Rutgers,26,Virginia Tech,23
5,"Sep 21, 2024",Sam Houston,31,New Mexico State,11
5,"Sep 21, 2024",South Carolina,50,Akron,7
5,"Sep 21, 2024",Southern Methodist,66,Texas Christian,42
5,"Sep 21, 2024",Temple,45,Utah State,29
5,"Sep 21, 2024",(6)Tennessee,25,(15)Oklahoma,15
5,"Sep 21, 2024",(1)Texas,51,Louisiana-Monroe,3
5,"Sep 21, 2024",(25)Texas A&M,26,Bowling Green,20
5,"Sep 21, 2024",Texas Tech,30,Arizona State,22
5,"Sep 21, 2024",Texas-San Antonio,45,Houston Baptist,7
5,"Sep 21, 2024",Troy,34,Florida A&M,12
5,"Sep 21, 2024",Tulane,41,Louisiana,33
5,"Sep 21, 2024",Tulsa,23,Louisiana Tech,20
5,"Sep 21, 2024",(12)Utah,22,(14)Oklahoma State,19
5,"Sep 21, 2024",Virginia,43,Coastal Carolina,24
5,"Sep 21, 2024",Washington,24,Northwestern,5
5,"Sep 21, 2024",West Virginia,32,Kansas,28
5,"Sep 21, 2024",Western Kentucky,26,Toledo,21
5,"Sep 22, 2024",Hawaii,36,Northern Iowa,7
6,"Sep 26, 2024",Army,42,Temple,14
6,"Sep 27, 2024",(7)Miami (FL),38,Virginia Tech,34
6,"Sep 27, 2024",Rutgers,21,Washington,18
6,"Sep 28, 2024",(4)Alabama,41,(2)Georgia,34
6,"Sep 28, 2024",Arizona,23,(10)Utah,10
6,"Sep 28, 2024",(25)Boise State,45,Washington State,24
6,"Sep 28, 2024",Boston College,21,Western Kentucky,20
6,"Sep 28, 2024",(22)Brigham Young,34,Baylor,28
6,"Sep 28, 2024",Central Michigan,22,San Diego State,21
6,"Sep 28, 2024",Charlotte,21,Rice,20
6,"Sep 28, 2024",(17)Clemson,40,Stanford,14
6,"Sep 28, 2024",Colorado,48,Central Florida,21
6,"Sep 28, 2024",Connecticut,47,Buffalo,3
6,"Sep 28, 2024",Duke,21,North Carolina,20
6,"Sep 28, 2024",East Carolina,30,Texas-San Antonio,20
6,"Sep 28, 2024",Eastern Michigan,52,Kent State,33
6,"Sep 28, 2024",Florida Atlantic,41,Wagner,10
6,"Sep 28, 2024",Florida International,17,Louisiana Tech,10
6,"Sep 28, 2024",Georgia Southern,38,Georgia State,21
