Id,Season,Home Team,Home Points,Home Post Win Prob,Home Pregame Elo,Home Postgame Elo,Away Team,Away Points,Away Post Win Prob,Away Pregame Elo,Away Postgame Elo,Excitement Index
401403980,2022,Stanford,28,0.0305417928829327,1355,1349,USC,41,0.9694582071170672,1612.0,1618.0,2.8489641974
401404001,2022,Washington,40,0.8892412304479442,1607,1623,Stanford,22,0.1107587695520557,1349.0,1333.0,2.6335401602
401404005,2022,Oregon,45,0.9701803071540804,1567,1585,Stanford,27,0.0298196928459194,1333.0,1315.0,2.1428719446
401404010,2022,Stanford,27,0.1270367151745094,1315,1325,Oregon State,28,0.8729632848254905,1559.0,1549.0,7.0607593506
401404016,2022,Notre Dame,14,0.2406606172333143,1797,1765,Stanford,16,0.7593393827666857,1325.0,1357.0,8.1370550694
401404018,2022,Stanford,15,0.0137870506828027,1357,1362,Arizona State,14,0.9862129493171972,1521.0,1516.0,9.9413894119
401404025,2022,UCLA,38,0.998047466210638,1700,1727,Stanford,13,0.0019525337893619,1362.0,1335.0,2.1175140017
401404032,2022,Stanford,14,0.1010658736056134,1335,1260,Washington State,52,0.8989341263943866,1615.0,1690.0,2.2004322478
401404038,2022,Utah,42,0.9988114520932616,1854,1881,Stanford,7,0.0011885479067385,1260.0,1233.0,2.5849822497
401404041,2022,California,27,0.2381351739332214,1397,1398,Stanford,20,0.7618648260667785,1233.0,1232.0,9.4124446883
401404049,2022,Stanford,26,0.0015596094483265,1232,1237,BYU,35,0.9984403905516734,1529.0,1524.0,2.123668114
