Id,Season,Home Team,Home Points,Home Post Win Prob,Home Pregame Elo,Home Postgame Elo,Away Team,Away Points,Away Post Win Prob,Away Pregame Elo,Away Postgame Elo,Excitement Index
401282080,2021,Vanderbilt,23,0.083776142,1240,1222,Stanford,41,0.916223858,1497,1515,2.788472833
401282711,2021,Stanford,14,0.001481286,1291,1283,Notre Dame,45,0.998518714,1984,1992,0.951828166
401287889,2021,Kansas State,24,0.988548003,1447,1497,Stanford,7,0.011451997,1491,1441,3.04085187
401309843,2021,USC,28,0.00971344,1672,1616,Stanford,42,0.99028656,1441,1497,3.501533379
401309858,2021,Stanford,24,0.06167729,1515,1501,UCLA,35,0.93832271,1621,1635,4.661778354
401309864,2021,Stanford,31,0.371134472,1501,1525,Oregon,24,0.628865528,1738,1714,8.186895565
401309868,2021,Arizona State,28,0.997286963,1729,1750,Stanford,10,0.002713037,1525,1504,2.721692536
401309873,2021,Washington State,34,0.582267318,1472,1473,Stanford,31,0.417732682,1504,1503,8.972799539
401309883,2021,Stanford,13,0.051988091,1503,1502,Washington,20,0.948011909,1665,1666,6.140010982
401309888,2021,Stanford,7,0.000500473,1502,1396,Utah,52,0.999499527,1729,1835,0.887819106
401309894,2021,Oregon State,35,0.998838213,1515,1552,Stanford,14,0.001161787,1396,1359,2.630458188
401309900,2021,Stanford,11,0.000710489,1359,1291,California,41,0.999289511,1488,1556,2.9179196
